tuple_count,categorical_cols,numerical_cols,type,planning_time,speech_cost_in_chars,mS,mW,mC
11,1,3,naive,0.002,1380,null,null,null
11,1,3,greedy,0.073,1380,1,1.0,1
11,1,3,linear,25.563,1209,1,1.0,1
11,1,3,hybrid,0.006,1277,1,1.0,1
11,1,3,greedy,0.071,1355,1,2.0,1
11,1,3,linear,5.342,1042,1,2.0,1
11,1,3,hybrid,0.003,1179,1,2.0,1
11,1,3,greedy,0.006,1380,1,1.0,2
11,1,3,linear,23.863,1209,1,1.0,2
11,1,3,hybrid,0.003,1277,1,1.0,2
11,1,3,greedy,0.025,1355,1,2.0,2
11,1,3,linear,6.271,1042,1,2.0,2
11,1,3,hybrid,0.002,1179,1,2.0,2
11,1,3,greedy,0.008,1380,2,1.0,1
11,1,3,linear,22.131,1052,2,1.0,1
11,1,3,hybrid,0.008,1246,2,1.0,1
11,1,3,greedy,0.237,1050,2,2.0,1
11,1,3,linear,6.232,806,2,2.0,1
11,1,3,hybrid,0.006,870,2,2.0,1
11,1,3,greedy,0.009,1380,2,1.0,2
11,1,3,linear,19.316,1052,2,1.0,2
11,1,3,hybrid,0.008,1248,2,1.0,2
11,1,3,greedy,0.265,1050,2,2.0,2
11,1,3,linear,5.321,806,2,2.0,2
11,1,3,hybrid,0.005,873,2,2.0,2
