Bar Uni,5.0,moderate,15,Brooklyn,Seafood
Upstate,4.5,moderate,1317,New York,Seafood
Atrium Dumbo,4.0,moderate,373,Brooklyn,Traditional American Cuisine
Treehaus Mima,4.5,moderate,33,New York,New American Cuisine
Sami's Kabab House,5.0,moderate,33,Astoria,Afghan
Suspenders,4.5,moderate,44,New York,Gastropubs
The Alcove,5.0,moderate,202,Sunnyside,Gastropubs
Win Son,4.5,moderate,94,Brooklyn,New American Cuisine
Thai Villa,4.5,moderate,346,New York,Thai
Olmsted,4.0,pricey,92,Brooklyn,New American Cuisine
Tipsy Shanghai,4.0,moderate,253,New York,Shanghainese
Amélie,4.5,moderate,1511,New York,Wine Bars
Thursday Kitchen,4.5,moderate,287,New York,New American Cuisine
Burger & Lobster,4.5,moderate,3013,New York,Seafood
Dutch Freds,4.5,moderate,305,New York,Cocktail Bars
Cherry Point,5.0,moderate,41,Brooklyn,New American Cuisine
Black Tap Craft Burger & Beers,3.5,pricey,60,New York,Burgers
Chikarashi,4.0,moderate,292,New York,Japanese
Maison Pickle,4.0,pricey,65,New York,Traditional American Cuisine
Thalassa Restaurant,4.0,pricey,273,New York,Seafood
ICHIRAN,3.5,moderate,366,Brooklyn,Ramen
The Wild Son,4.5,moderate,81,New York,New American Cuisine
The Wei,4.5,inexpensive,64,Brooklyn,Chinese
Grindhaus,4.0,moderate,58,New York,New American Cuisine
Father Knows Best,4.5,moderate,56,Brooklyn,Bars
The Topaz,5.0,moderate,57,Brooklyn,Tapas/Small Plates
The Brooklyn Tree,4.5,moderate,32,Brooklyn,Traditional American Cuisine
Barn Joo 35,4.5,moderate,349,New York,Tapas/Small Plates
2nd City,4.5,moderate,267,New York,Asian Fusion
AlMar,4.0,moderate,255,Brooklyn,Italian
Dayboat,4.5,pricey,27,Sunnyside,Seafood
Fishmarket Restaurant,4.5,moderate,304,New York,Seafood
Gramercy Tavern,4.5,ultra high-end,2161,New York,New American Cuisine
Il Sogno Secondo,4.5,moderate,58,Brooklyn,Italian
Mito Japanese Asian Fusion,4.5,moderate,65,Forest Hills,Japanese
Tanner Smiths,4.5,moderate,535,New York,New American Cuisine
Brasserie Séoul,4.0,moderate,121,Brooklyn,Korean
Gaijin,4.5,moderate,66,Astoria,Seafood
Midnights,4.5,moderate,88,Brooklyn,New American Cuisine
Coarse NYC,4.5,pricey,31,New York,New American Cuisine
Gersi,4.5,moderate,85,Brooklyn,Italian
Trademark Taste & Grind,4.5,moderate,157,New York,New American Cuisine
Yaso Tangbao,4.0,moderate,354,Brooklyn,Shanghainese
The Black Derby,4.5,moderate,26,New York,New American Cuisine
Westville Dumbo,4.0,moderate,29,Brooklyn,New American Cuisine
Jack's Wife Freda,4.0,moderate,1105,New York,Breakfast & Brunch
Breakroom,4.5,inexpensive,1108,New York,Burgers
Tim Ho Wan,3.5,moderate,288,New York,Dim Sum
Bea,4.0,moderate,1140,New York,New American Cuisine
The Binc,4.5,moderate,19,Brooklyn,Cocktail Bars
